Month,Start Date,End Date,Duration,Time,Event,Location,Partner/Promo,SEM Needs,Marketing Start Date,Expected Attendance,Target Garage,MG Landing Page,Event Website,Partner Rates,Total Comp Validations,12 Drive-Up,24 Drive-Up,MG/Parking.Com Rate,Spothero Rate,Parkwhiz Rate,Notes
March,"Sun, Mar 12","Sun, Mar 12", 1 ,3:00 PM,Alvin Ailey American Dance Theater,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3840,,,,,,,,
March,"Sun, Mar 12","Sun, Mar 12", 1 ,3:00 PM,Blomstedt Conducts Dvořák 8,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/blomstedt-conducts-dvorak-8/,,,,,,,,
March,"Mon, Mar 13","Mon, Mar 13", 1 ,8:00 PM,Civic Orchestra Brass and Percussion,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/civic-orchestra/civic-orchestra-brass-and-percussion/,,,,,,,,
March,"Tue, Mar 14","Tue, Mar 14", 1 ,5:30 PM,Get (Chick) Lit: Women Writers,American Writers Museum,,,,,,,https://americanwritersmuseum.org/program-calendar/get-lit-women-writers/,,,,,,,,
March,"Tue, Mar 14","Tue, Mar 14", 1 ,7:30 PM,Jay Shetty,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-jay-shetty/07005D7DAB9F2B89,,,,,,,,
March,"Tue, Mar 14","Sun, Apr 2", 19 ,Various,TINA – The Tina Turner Musical,James M. Nederlander Theatre,,,,,,,https://www.broadwayinchicago.com/show/tina-the-tina-turner-musical/,,,,,,,,
March,"Thu, Mar 16","Thu, Mar 16", 1 ,7:30 PM,Carmina burana,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/carmina-burana/,,,,,,,,
March,"Fri, Mar 17","Fri, Mar 17", 1 ,1:30 PM,Carmina burana,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/carmina-burana/,,,,,,,,
March,"Fri, Mar 17","Fri, Mar 17", 1 ,8:00 PM,Tedeschi Trucks Band,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-tedeschi-trucks-band/07005D62A11F2E42,,,,,,,,
March,"Fri, Mar 17","Fri, Mar 17", 1 ,-,St. Patrick's Day (observed),,,,,,,,,,,,,,,,
March,"Sat, Mar 18","Sat, Mar 18", 1 ,2:00 PM,Windy City Choral Festival,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/rentals/windy-city-choral-festival/,,,,,,,,
March,"Sat, Mar 18","Sat, Mar 18", 1 ,7:30 PM,Chicago Fire FC vs. FC Cincinnati,Soldier Field,,,,,,,https://www.soldierfield.com/events/detail/chicago-fire-fc-vs-fc-cincinnati-1,,,,,,,,
March,"Sat, Mar 18","Sat, Mar 18", 1 ,8:00 PM,Carmina burana,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/carmina-burana/,,,,,,,,
March,"Sat, Mar 18","Sat, Mar 18", 1 ,8:00 PM,Tedeschi Trucks Band,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-tedeschi-trucks-band/07005D62A1232E44,,,,,,,,
March,"Sun, Mar 19","Sun, Mar 19", 1 ,2:00 PM,Dr. Jane Goodall,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-jane-goodall,,,,,,,,
March,"Sun, Mar 19","Sun, Mar 19", 1 ,3:00 PM,Hilary Hahn,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-chamber/hilary-hahn/,,,,,,,,
March,"Sun, Mar 19","Sun, Mar 19", 1 ,7:00 PM,Civic Orchestra Open Rehearsal,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/civic-orchestra/civic-open-rehearsal-mar-19-2023/,,,,,,,,
March,"Thu, Mar 23","Thu, Mar 23", 1 ,7:30 PM,"Coleridge-Taylor, Copland & Dvořák 9",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/coleridge-taylor-copland-and-dvorak-9/,,,,,,,,
March,"Thu, Mar 23","Thu, Mar 23", 1 ,7:30 PM,The Life and Death(s) of Alan Turing,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/life-and-deaths-alan-turing,,,,,,,,
March,"Thu, Mar 23","Thu, Mar 23", 1 ,3:00 PM,The Life and Death(s) of Alan Turing,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/life-and-deaths-alan-turing,,,,,,,,
March,"Fri, Mar 24","Sat, Mar 25", 1 ,"11:30AM to 7:00 PM;
8:00AM to 4:00PM",Shamrock Shuffle Packet Pickup,Grant Park,,,,,,,https://www.shamrockshuffle.com/shufflers/general-information/,,,,,,,,
March,"Fri, Mar 24","Fri, Mar 24", 1 ,7:30 PM,An Evening with John Williams,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-at-the-movies/an-evening-with-john-williams/,,,,,,,,
March,"Sat, Mar 25","Sat, Mar 25", 1 ,Various,"PAW Patrol Live! ""Heroes Unite""",Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-paw-patrol-live-heroes-unite/07005D28E8D436CF,,,,,,,,
March,"Sat, Mar 25","Sat, Mar 25", 1 ,7:30 PM,Lettuce with Chicago Philharmonic,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/4133,,,,,,,,
March,"Sat, Mar 25","Sat, Mar 25", 1 ,8:00 PM,"Coleridge-Taylor, Copland & Dvořák 9",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/coleridge-taylor-copland-and-dvorak-9/,,,,,,,,
March,"Sun, Mar 26","Sun, Mar 26", 1 ,8:00AM to 1:30PM,Shamrock Shuffle,Grant Park,,,,"28,000",,,https://www.shamrockshuffle.com/,,,,,,,,
March,"Sun, Mar 26","Sun, Mar 26", 1 ,Various,"PAW Patrol Live! ""Heroes Unite""",Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-paw-patrol-live-heroes-unite/07005D28E8DE36D7,,,,,,,,
March,"Sun, Mar 26","Sun, Mar 26", 1 ,1:00 PM,Because I Could Not Stop for Death: An Emily Dickinson Event,American Writers Museum,,,,,,,https://americanwritersmuseum.org/program-calendar/because-i-could-not-stop-for-death-an-emily-dickinson-event-in-person/,,,,,,,,
March,"Sun, Mar 26","Sun, Mar 26", 1 ,2:00 PM,National Geographic Live - How to Clone a Mammoth,Auditorium Theatre,,,,,,,https://mytickets.auditoriumtheatre.org/overview/3809,,,,,,,,
March,"Sun, Mar 26","Sun, Mar 26", 1 ,3:00 PM,"Coleridge-Taylor, Copland & Dvořák 9",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/coleridge-taylor-copland-and-dvorak-9/,,,,,,,,
March,"Mon, Mar 27","Mon, Mar 27", 1 ,7:00 PM,Chicago Youth in Music Festival: Open Rehearsal,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/civic-orchestra/chicago-youth-in-music-festival/,,,,,,,,
March,"Tue, Mar 28","Tue, Mar 28", 1 ,7:00 PM,2023 Chicago International Music Festival,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/rentals/2023-chicago-international-music-festival/,,,,,,,,
March,"Tue, Mar 28","Tue, Mar 28", 1 ,7:30 PM,Beyond the Aria: Program IV,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/beyond-aria-program-iv,,,,,,,,
March,"Tue, Mar 28","Sun, Apr 16", 19 ,Various,The Book of Mormon,Cadillac Palace Theatre,,,,,,,https://www.broadwayinchicago.com/show/the-book-of-mormon-2023/,,,,,,,,
March,"Thu, Mar 30","Thu, Mar 30", 1 ,7:30 PM,"Boccherini, Vivaldi & Mozart 40",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/boccherini-vivaldi-and-mozart-40/,,,,,,,,
March,"Fri, Mar 31","Fri, Mar 31", 1 ,7:30 PM,Season 60 | Celebrate Giordano,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/season-60-celebrate-giordano,,,,,,,,
March,"Fri, Mar 31","Fri, Mar 31", 1 ,8:00 PM,Danilo Pérez’s Global Messengers and Children of the Light with John Patitu,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-jazz/danilo-perezs-global-messengers/,,,,,,,,
March,"Fri, Mar 31","Fri, Mar 31", 1 ,8:00 PM,Tedeschi Trucks Band,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-tedeschi-trucks-band/07005D62A1272E46,,,,,,,,
March,"Fri, Mar 31","Sun, Apr 2", 2 ,Various,Golden-Con: Thank You For Being A Fan 2023,Sheraton Grand Chicago Riverwalk,,,,,,,https://www.tixr.com/groups/golden-con/events/golden-con-thank-you-for-being-a-fan-2023-58463,,,,,,,,
April,"Sat, Apr 1","Sat, Apr 1", 1 ,10AM to 2PM,Great Chicago Egg Hunt,Maggie Daley Park,,,,,,,,,,,,,,,
April,"Sat, Apr 1","Sat, Apr 1", 1 ,2:00 PM,Conversation: Cleaner and Greener—Conserving the Lions of Michigan Avenue,Art Institute of Chicago,,,,,,,https://www.artic.edu/events/5652/conversation-cleaner-and-greener-conserving-the-lions-of-michigan-avenue-2,,,,,,,,
April,"Sat, Apr 1","Sat, Apr 1", 1 ,7:30 PM,Season 60 | Celebrate Giordano,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/season-60-celebrate-giordano,,,,,,,,
April,"Sat, Apr 1","Sat, Apr 1", 1 ,7:30 PM,Chicago Fire FC vs. D.C. United,Soldier Field,,,,,,,https://www.soldierfield.com/events/detail/chicago-fire-fc-vs-dc-united-1,,,,,,,,
April,"Sat, Apr 1","Sat, Apr 1", 1 ,8:00 PM,"Boccherini, Vivaldi & Mozart 40",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/boccherini-vivaldi-and-mozart-40/,,,,,,,,
April,"Sat, Apr 1","Sat, Apr 1", 1 ,8:00 PM,Tedeschi Trucks Band,Chicago Theatre,,,,,,,https://www.msg.com/calendar/the-chicago-theatre-march-2023-tedeschi-trucks-band#about-the-event,,,,,,,,
April,"Sat, Apr 1","Tue, Apr 4", 3 ,7:30 PM,"Boccherini, Vivaldi & Mozart 40",Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/cso-classical/boccherini-vivaldi-and-mozart-40/,,,,,,,,
April,"Sun, Apr 2","Sun, Apr 2", 1 ,3:00 PM,Emanuel Ax,Chicago Symphony Orchestra,,,,,,,https://cso.org/performances/22-23/scp-piano/emanuel-ax/,,,,,,,,
April,"Mon, Apr 3","Mon, Apr 3", 1 ,7:30 PM,Music of the Baroque: The St. Matthew Passion,Harris Theater,,,,,,,https://www.harristheaterchicago.org/performance/st-matthew-passion,,,,,,,,
April,"Tue, Apr 4","Sun, Apr 16", 12 ,Various,A Soldier’s Play,CIBC Theatre,,,,,,,https://www.broadwayinchicago.com/show/a-soldiers-play/,,,,,,,,
